,type,product,per_serving_g,total_fat_g,sugars_g,sodium_g,total_fat_g_per_gram_of_serving,sugars_g_per_gram_of_serving,sodium_g_per_gram_of_serving,imageLink
69,wafer,https://www.fairprice.com.sg/search?query=Alor Durian Wafer 21g x 10,100.0,31.1,0.0,0.061,0.311,0.0,0.00061,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90152342_XL1_20221118.jpg
70,wafer,https://www.fairprice.com.sg/search?query=Beryl's Coconut Rolls Original,75.0,7.1,23.0,0.03,0.094666667,0.3066666666666666,0.0004,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90040646_XL1_20230223.jpg
71,wafer,https://www.fairprice.com.sg/search?query=Julie's Love Letter Wafer Biscuit Roll - Chocolate,30.0,4.0,13.0,0.065,0.1333333333333333,0.4333333333333333,0.002166667,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10954967_XL1_20220511.jpg
72,wafer,https://www.fairprice.com.sg/search?query=Julie's Love Letter Wafer Biscuit Roll - Strawberry,30.0,5.0,12.0,0.065,0.1666666666666666,0.4,0.002166667,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10954983_XL1_20220511.jpg
73,wafer,https://www.fairprice.com.sg/search?query=Lee S'bery Wafers Sticks,180.0,31.6,23.2,0.048,0.1755555555555555,0.1288888888888889,0.000266667,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90022794_XL1.jpg
74,wafer,https://www.fairprice.com.sg/search?query=Loacker Crispy Wafer Bar - Milk,100.0,28.0,27.0,0.1639999999999999,0.28,0.27,0.00164,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12701963_XL1_20230914.jpg
75,wafer,https://www.fairprice.com.sg/search?query=Loacker Crispy Wafer Bar - Cremkakao,100.0,26.0,28.0,0.124,0.26,0.28,0.00124,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12228803_XL1_20230914.jpg
76,wafer,https://www.fairprice.com.sg/search?query=Mincher Peanut Flavor Wafer,400.0,29.2,10.9,0.071,0.073,0.02725,0.0001775,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90164289_XL1_20230307.jpg
77,wafer,https://www.fairprice.com.sg/search?query=Redondo Cream Wafers - Cappuccino,36.0,6.5,12.6,0.081,0.1805555555555555,0.35,0.00225,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11753470_XL1_20211221.jpg
78,wafer,"https://www.fairprice.com.sg/search?query=Schar Schar Wafers with Lemon Cream, Gluten Free",100.0,24.0,33.0,0.06,0.24,0.33,0.0006,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90173329_XL1_20230531.jpg
79,wafer,https://www.fairprice.com.sg/search?query=Lee Biscuits Carton - 24 Pack Cheese Cream Wafers Cubes,80.0,32.4,12.8,0.314,0.4049999999999999,0.16,0.003925,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90022798_XL1.jpg
80,wafer,https://www.fairprice.com.sg/search?query=Lee Biscuits Carton - 24 Pack Strawberry Cream Wafers Cubes,90.0,31.6,23.2,0.048,0.3511111111111111,0.2577777777777778,0.000533333,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90022797_XL1.jpg
81,wafer,https://www.fairprice.com.sg/search?query=Aladdin Danish Deluxe Waffle Cones,100.0,6.9,28.6,0.0,0.069,0.286,0.0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12146955_XL1_20220426.jpg
82,wafer,https://www.fairprice.com.sg/search?query=Aladdin Ice Cream Cones,12.0,0.5,4.0,0.007,0.0416666666666666,0.3333333333333333,0.000583333,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/200006_XL1_20230926.jpg
83,wafer,https://www.fairprice.com.sg/search?query=Jules Destrooper Biscuits - Butter Crisps,100.0,15.0,36.0,0.1639999999999999,0.15,0.36,0.00164,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11094022_XL1.jpg
84,wafer,https://www.fairprice.com.sg/search?query=Kagi Swiss Chocolate Wafer Minis - Classic,100.0,35.0,38.0,0.096,0.35,0.38,0.00096,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13086424_XL1_20230526.jpg
85,wafer,https://www.fairprice.com.sg/search?query=Lee Biscuits Carton - 24 Pack Chocolate Cream Wafers Cubes,90.0,26.7,30.7,0.049,0.2966666666666666,0.3411111111111111,0.000544444,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90022795_XL1.jpg
86,wafer,https://www.fairprice.com.sg/search?query=Lee Biscuits Carton - 24 Pack Lemon Cream Wafers Cubes,90.0,25.5,20.7,0.062,0.2833333333333333,0.2299999999999999,0.000688889,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90022796_XL1.jpg
87,wafer,https://www.fairprice.com.sg/search?query=Kagi Swiss Chocolate Wafer Minis - Dark,125.0,37.0,34.0,0.056,0.296,0.272,0.000448,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13086427_XL1_20231009.jpg
